title,release_date,vote_average,runtime,genre_names,,,title,release_date,vote_average,runtime,genre_names
The Invitation,2022-08-24,6.3,105,"Horror, Thriller",,,,,,,
Dark Cloud,2022-05-09,6.6,81,"Horror, Science Fiction, Thriller",,,,,,,
Queen of Spades,2021-06-11,6.6,91,Horror,,,,,,,
Living with Chucky,2022-08-13,2.0,105,"Documentary, Horror",,,,,,,
The Hunting,2022-01-21,4.9,91,Horror,,,,,,,
Bull Shark,2022-02-05,5.5,80,"Horror, Thriller",,,,,,,
Halloween,2018-10-18,6.5,106,"Horror, Thriller",,,,,,,
A Quiet Place Part II,2021-05-21,7.6,97,"Horror, Science Fiction, Thriller",,,,,,,
Paranormal Activity: Next of Kin,2021-10-29,6.4,98,"Horror, Mystery, Thriller",,,,,,,
Old,2021-07-21,6.5,108,"Horror, Mystery, Thriller",,,,,,,
Black Water: Abyss,2020-07-09,5.1,98,"Adventure, Horror, Mystery, Thriller",,,,,,,
Dark Spell,2021-02-11,6.8,92,"Fantasy, Horror, Mystery, Romance, Thriller",,,,,,,
The House,2022-01-14,7.0,97,"Animation, Comedy, Drama, Fantasy, Horror",,,,,,,
The Haunting of Helena,2013-01-14,5.5,87,"Horror, Thriller",,,,,,,
Naruto Shippuden the Movie: Blood Prison,2011-07-30,7.2,108,"Action, Animation, Comedy, Horror, Mystery, Thriller",,,,,,,
Bride of Chucky,1998-10-16,6.0,89,"Comedy, Horror",,,,,,,
Sonríe,2012-10-23,2.0,0,Horror,,,,,,,
Wrong Turn 3: Left for Dead,2009-10-20,5.6,91,"Horror, Thriller",,,,,,,
Tarumama,2021-07-29,4.5,90,"Drama, Horror",,,,,,,
The Conjuring 2,2016-06-08,7.3,134,"Horror, Thriller",,,,,,,
World War Z,2013-06-20,6.8,116,"Action, Drama, Horror, Science Fiction, Thriller",,,,,,,
The Nun,2018-09-05,5.8,96,"Horror, Mystery, Thriller",,,,,,,
The Legacy of Chucky,2021-07-25,6.4,10,"Documentary, Horror",,,,,,,
Two,2021-07-23,5.4,71,"Horror, Thriller",,,,,,,
A Haunted House 2,2014-04-17,6.0,87,"Comedy, Horror",,,,,,,
Wrong Turn 4: Bloody Beginnings,2011-10-17,5.7,93,"Horror, Thriller",,,,,,,
Wrong Turn 2: Dead End,2007-08-25,6.0,96,"Horror, Thriller",,,,,,,
Mal de Ojo,2022-09-22,3.3,0,Horror,,,,,,,
Chucky's Vacation Slides,2005-06-07,6.3,3,"Comedy, Horror",,,,,,,
Constantine,2005-02-08,7.0,121,"Action, Fantasy, Horror",,,,,,,
Antlers,2021-10-28,6.3,99,"Drama, Horror, Mystery",,,,,,,
Wrong Turn,2021-01-26,6.0,110,"Horror, Thriller",,,,,,,
Hidden,2015-09-15,6.8,83,"Horror, Thriller",,,,,,,
The Meg,2018-08-09,6.2,113,"Action, Horror, Science Fiction",,,,,,,
Cult of Chucky,2017-10-23,5.8,91,"Horror, Thriller",,,,,,,
The Addams Family,2019-10-10,6.6,86,"Animation, Comedy, Family, Fantasy, Horror",,,,,,,
The Deep House,2021-06-30,6.3,81,Horror,,,,,,,
Wrong Turn 5: Bloodlines,2012-10-23,5.4,91,"Horror, Thriller",,,,,,,
Meander,2021-05-26,6.0,91,"Drama, Horror, Science Fiction, Thriller",,,,,,,
Fear Street: 1994,2021-06-28,6.8,107,"Fantasy, Horror, Mystery",,,,,,,
Demonic,2021-07-29,4.9,104,"Drama, Horror, Science Fiction",,,,,,,
Legion,2010-01-21,5.8,100,"Action, Fantasy, Horror",,,,,,,
Terrifier 2,2022-10-06,8.0,138,"Horror, Thriller",,,,,,,
Halloween,1978-10-24,7.6,91,"Horror, Thriller",,,,,,,
Child's Play,1988-11-09,6.6,87,Horror,,,,,,,
A Haunted House,2013-01-11,5.8,86,"Comedy, Horror",,,,,,,
The First Purge,2018-07-04,6.0,97,"Action, Horror, Thriller",,,,,,,
It,2017-09-06,7.2,135,"Fantasy, Horror",,,,,,,
Smile,2016-11-16,0.0,15,Horror,,,,,,,
The Remaining,2014-08-25,5.7,88,"Horror, Thriller",,,,,,,
Fear Street: 1978,2021-07-08,7.3,110,"Fantasy, Horror, Mystery",,,,,,,
Separation,2021-04-30,5.8,107,"Drama, Horror",,,,,,,
Motherly,2022-08-04,6.0,90,"Horror, Thriller",,,,,,,
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,2021-09-14,8.1,72,"Animation, Comedy, Family, Fantasy, Horror, Mystery",,,,,,,
Smile,2022-08-17,4.0,7,Horror,,,,,,,
Abraham Lincoln: Vampire Hunter,2012-06-20,5.7,94,"Action, Fantasy, Horror",,,,,,,
Barbarian,2022-09-08,7.2,103,"Horror, Mystery, Thriller",,,,,,,
Seed of Chucky,2004-11-11,5.4,87,"Comedy, Horror",,,,,,,
Raising Jeffrey Dahmer,2006-04-13,6.8,100,"Drama, Horror",,,,,,,
The Exorcist,1973-12-26,7.7,122,Horror,,,,,,,
Host,2020-12-04,6.5,57,"Horror, Mystery, Thriller",,,,,,,
