release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
2006-12-26,/wM0gBkNpny7hLwb0BHDVzPdrOD6.jpg,2.653,17,5.6,0,0,90,Released,FALSE,NA,"Horror, Romance, TV Movie",NA,NA
2016-01-01,/gpD7I2bwcZSbIBfmLbQBj2PQtmZ.jpg,2.653,6,3.8,300000,0,77,Released,FALSE,/uXr4YaND76FYLlRXlGQa4GHeIDQ.jpg,"Horror, Thriller",NA,NA
2017-10-17,/4vurHD1lb0to26cA8SJ63jRtVV8.jpg,2.653,14,4.5,0,0,72,Released,FALSE,/cbWGP5TQE96k7lcIgfViDoh5LsQ.jpg,Horror,972513,Dark Web Collection
2018-07-13,/shg9c1gsc1aSsCeYxcjIkupt6O2.jpg,2.653,13,6.5,0,0,91,Released,FALSE,/uHzZziBfwPk6WeUCDGFmp6RpdMg.jpg,"Horror, Mystery",NA,NA
2010-09-11,/mRuISX4fcxsfSTG1ukR1Wooij79.jpg,2.652,9,4.1,0,0,84,Released,FALSE,/3siWsOUAxsmGesppo9V4sxDDD9E.jpg,"Horror, Thriller",NA,NA
1975-10-02,/zFnDBFlbAoV5l0pJhZYh3bvqQEw.jpg,2.652,22,5.2,0,0,93,Released,FALSE,/4LGOPeWGAnTcNA9UHngLmbHhY0o.jpg,Horror,385250,Black Magic
2004-09-22,/bN58EvVisNw6V9HZiNoUrXLn36B.jpg,2.652,10,5.7,0,0,92,Released,FALSE,/iqpyeJVjJs45ANo92hdP2CSdCU6.jpg,"Horror, TV Movie",NA,NA
2003-10-30,NA,2.652,6,7.3,0,0,120,Released,FALSE,NA,Horror,NA,NA
2018-03-06,/47ZBTOg6cljaHgDAcpHptjQULJx.jpg,2.652,16,2.6,0,0,84,Released,FALSE,/18SDNP28HYYS1tHVrqcmDhR5vqL.jpg,Horror,NA,NA
1985-10-31,/54QOkHWUnn3gDZKfGojPiFqTHJD.jpg,2.651,39,6.3,0,0,82,Released,FALSE,/tu5IcNPo99rJkIgNwKZqPYQ2MiY.jpg,"Fantasy, Horror, Romance",NA,NA
2000-03-10,/7LGQideiNzZYJ4ck7r47QgaJvrU.jpg,2.65,8,4.8,0,0,90,Released,FALSE,/2dcRdPKO995pAn0PNlLH45GloRq.jpg,"Horror, Thriller",NA,NA
2017-08-22,/uf1Ml1IlgBjOn54uPmO0OCUUHV7.jpg,2.65,2,3.8,0,0,90,Released,FALSE,NA,Horror,NA,NA
2008-01-01,/q9JKL5NFOTQEJ1mBaBIhWJrAoe3.jpg,2.649,10,5.5,0,0,100,Released,FALSE,/4OPamuwBc7iMILJ0Am5ddoeOQQQ.jpg,"Fantasy, Horror, Mystery",NA,NA
1972-03-24,/tdqYovoweaumkdXtFSThiaIjcqb.jpg,2.649,23,5.6,0,0,93,Released,FALSE,/mEbi8mxaNvtqsXZvDhjYFoCNkjh.jpg,"Horror, Thriller",NA,NA
2016-01-30,/3eKF02D3h8eZ2MMDUU1YtgcFxcD.jpg,2.649,15,6.4,0,0,107,Released,FALSE,/wZ0eiF2uHAYA7XqArDL1i5wDgOW.jpg,Horror,NA,NA
2012-10-26,/mNxnFnZcegz8xkHwh8g2B9hew5E.jpg,2.649,2,10,10000000,0,0,Released,FALSE,NA,"Comedy, Horror",NA,NA
1970-06-07,/wQIhKHR4GmurIcurg0j6IDAUc4D.jpg,2.647,20,5.3,0,0,96,Released,FALSE,/ydS0P4T0XPxiFYqSO4I00X0eSsU.jpg,"Horror, Thriller",NA,NA
2014-01-25,/iq5RlsYFeF26y7GIW6izMofqvLo.jpg,2.647,2,2.5,0,0,101,Released,FALSE,/EDglJdATmxISs14EichSYsJGBl.jpg,"Action, Comedy, Horror",NA,NA
2022-09-29,NA,2.647,0,0,0,0,53,Released,FALSE,NA,"Drama, Horror",NA,NA
2009-01-15,/uwHUwU3tWE0TWD98dggWLIavHxN.jpg,2.646,42,4.4,3700000,0,96,Released,FALSE,/6ZEhNSVNuZIzmhqyCXrG2xYgXLx.jpg,Horror,NA,NA
2012-07-17,/2qardZuB44HzK6Jt0OPgW464tMw.jpg,2.646,9,5,0,0,84,Released,FALSE,NA,Horror,NA,NA
